→ Agrégation des documents…
→ 9 documents à classer | 5 labels définis.
[raw: memoire_technique    | normalized: dqe_bordereau       ] /data/ED257730 - MONTMIRAIL - AV DE L EMPEREUR/01-Document marché/Copie de DQE Aménagement sécuritaire Av de l'Empereur_Montmirail.xlsx (confidence=0.00)
[raw: memoire_technique    | normalized: dqe_bordereau       ] /data/ED257730 - MONTMIRAIL - AV DE L EMPEREUR/01-Document marché/DQE Aménagement sécuritaire Av de l'Empereur_Montmirail REMPLI.xlsx (confidence=0.00)
[raw: memoire_technique    | normalized: dqe_bordereau       ] /data/ED257730 - MONTMIRAIL - AV DE L EMPEREUR/01-Document marché/DQE Aménagement sécuritaire Av de l'Empereur_Montmirail.pdf (confidence=0.00)
[raw: memoire_technique    | normalized: dqe_bordereau       ] /data/ED257730 - MONTMIRAIL - AV DE L EMPEREUR/05-Etude-Devis-SPIGAO/EN.07.01 - Etudes R.07 - 2024.10.xlsx (confidence=0.00)
[raw: memoire_technique    | normalized: etude_plan          ] /data/ED257730 - MONTMIRAIL - AV DE L EMPEREUR/07-Mémoire technique - Planning/WIAME VRD - 0Présentation de l'entreprise.docx (confidence=0.00)
[raw: memoire_technique    | normalized: dqe_bordereau       ] /data/ED257730 - MONTMIRAIL - AV DE L EMPEREUR/09-Offre remise/OFFRE 1702/DQE - Montmirail - Av de l'Empereur - Resine sablé sur enrobés.xlsx (confidence=0.00)
[raw: memoire_technique    | normalized: dqe_bordereau       ] /data/ED257730 - MONTMIRAIL - AV DE L EMPEREUR/09-Offre remise/OFFRE 1702/DQE Aménagement sécuritaire Av de l'Empereur_Montmirail.xlsx (confidence=0.00)
[raw: memoire_technique    | normalized: dqe_bordereau       ] /data/ED257730 - MONTMIRAIL - AV DE L EMPEREUR/09-Offre remise/OFFRE/DQE Aménagement sécuritaire Av de l'Empereur_Montmirail.xlsx (confidence=0.00)
[raw: memoire_technique    | normalized: dqe_bordereau       ] /data/ED257730 - MONTMIRAIL - AV DE L EMPEREUR/09-Offre remise/OFFRE/DQE amenagement securitaire AV de l EMPEREUR SIGNE.pdf (confidence=0.00)
Classification terminée.
